"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"Dan Shechtman";"male";"1941-01-24";"Tel Aviv";"British Mandate of Palestine";"Asia";"2011";"The Nobel Prize in Chemistry";"2011-10-05";"for the discovery of quasicrystals";10000000;10736783
"Daniel Bovet";"male";"1907-03-23";"Neuchâtel";"Switzerland";"Europe";"1957";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles";208629;2746709
"Daniel C. Tsui";"male";"1939-02-28";"Henan";"China";"Asia";"1998";"The Nobel Prize in Physics";"1998-10-13";"for their discovery of a new form of quantum fluid with fractionally charged excitations";7600000;9889843
"Daniel Kahneman";"male";"1934-03-05";"Tel Aviv";"British Mandate of Palestine";"Asia";"2002";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2002-10-09";"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty";10000000;12252888
"Daniel L. McFadden";"male";"1937-07-29";"Raleigh, NC";"USA";"North America";"2000";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2000-10-11";"for his development of theory and methods for analyzing discrete choice";9000000;11538617
"Daniel Nathans";"male";"1928-10-30";"Wilmington, DE";"USA";"North America";"1978";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of restriction enzymes and their application to problems of molecular genetics";725000;2951013
"Dario Fo";"male";"1926-03-24";"Leggiuno-Sangiano";"Italy";"Europe";"1997";"The Nobel Prize in Literature";NA;"who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden";7500000;9746426
"David Baltimore";"male";"1938-03-07";"New York, NY";"USA";"North America";"1975";"The Nobel Prize in Physiology or Medicine";"1975-10-16";"for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell";630000;3465908
"David Card";"male";"1956-00-00";"Guelph";"Canada";"North America";"2021";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2021-10-11";"for his empirical contributions to labour economics";10000000;10000000
"David H. Hubel";"male";"1926-02-27";"Windsor, ON";"Canada";"North America";"1981";"The Nobel Prize in Physiology or Medicine";"1981-10-09";"for their discoveries concerning information processing in the visual system";1000000;2982813
"David J. Gross";"male";"1941-02-19";"Washington, DC";"USA";"North America";"2004";"The Nobel Prize in Physics";"2004-10-05";"for the discovery of asymptotic freedom in the theory of the strong interaction";10000000;11976161
"David J. Thouless";"male";"1934-09-21";"Bearsden";"United Kingdom";"Europe";"2016";"The Nobel Prize in Physics";"2016-10-04";"for theoretical discoveries of topological phase transitions and topological phases of matter";8000000;8451577
"David J. Wineland";"male";"1944-02-24";"Milwaukee, WI";"USA";"North America";"2012";"The Nobel Prize in Physics";"2012-10-09";"for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems";8000000;8512821
"David Julius";"male";"1955-11-04";"New York, NY";"USA";"North America";"2021";"The Nobel Prize in Physiology or Medicine";"2021-10-04";"for their discoveries of receptors for temperature and touch";10000000;10000000
"David M. Lee";"male";"1931-01-20";"Rye, NY";"USA";"North America";"1996";"The Nobel Prize in Physics";"1996-10-09";"for their discovery of superfluidity in helium-3";7400000;9662517
"David Trimble";"male";"1944-10-15";"Belfast";"Northern Ireland";"Europe";"1998";"The Nobel Peace Prize";"1998-10-16";"for their efforts to find a peaceful solution to the conflict in Northern Ireland";7600000;9889843
"David W.C. MacMillan";"male";"1968-00-00";"Bellshill";"United Kingdom";"Europe";"2021";"The Nobel Prize in Chemistry";"2021-10-06";"for the development of asymmetric organocatalysis";10000000;10000000
"Denis Mukwege";"male";"1955-03-01";"Bukavu";"Belgian Congo";"Africa";"2018";"The Nobel Peace Prize";"2018-10-05";"for their efforts to end the use of sexual violence as a weapon of war and armed conflict";9000000;9163200
"Dennis Gabor";"male";"1900-06-05";"Budapest";"Hungary";"Europe";"1971";"The Nobel Prize in Physics";NA;"for his invention and development of the holographic method";450000;3382087
"Derek Barton";"male";"1918-09-08";"Gravesend";"United Kingdom";"Europe";"1969";"The Nobel Prize in Chemistry";NA;"for their contributions to the development of the concept of conformation and its application in chemistry";375000;3239253
"Derek Walcott";"male";"1930-01-23";"Castries";"Saint Lucia";"North America";"1992";"The Nobel Prize in Literature";NA;"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment";6500000;9350791
"Desmond Tutu";"male";"1931-10-07";"Klerksdorp";"South Africa";"Africa";"1984";"The Nobel Peace Prize";"1984-10-05";"for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa";1650000;3850672
"Dickinson W. Richards";"male";"1895-10-30";"Orange, NJ";"USA";"North America";"1956";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning heart catheterization and pathological changes in the circulatory system";200123;2748452
"Didier Queloz";"male";"1966-02-23";"Geneva";"Switzerland";"Europe";"2019";"The Nobel Prize in Physics";"2019-10-08";"for the discovery of an exoplanet orbiting a solar-type star";9000000;9000000
"Dmitry Muratov";"male";"1961-00-00";"Kubyshev";"USSR";"Europe";"2021";"The Nobel Peace Prize";"2021-10-07";"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace";10000000;10000000
"Donald A. Glaser";"male";"1926-09-21";"Cleveland, OH";"USA";"North America";"1960";"The Nobel Prize in Physics";"1960-11-03";"for the invention of the bubble chamber";225987;2713265
"Donald J. Cram";"male";"1919-04-22";"Chester, VT";"USA";"North America";"1987";"The Nobel Prize in Chemistry";"1987-10-14";"for their development and use of molecules with structure-specific interactions of high selectivity";2175000;4352280
"Donna Strickland";"female";"1959-05-27";"Guelph";"Canada";"North America";"2018";"The Nobel Prize in Physics";"2018-10-02";"for their method of generating high-intensity, ultra-short optical pulses";9000000;9163200
"Doris Lessing";"female";"1919-10-22";"Kermanshah";"Persia";"Asia";"2007";"The Nobel Prize in Literature";"2007-10-11";"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny";10000000;11506932
"Dorothy Crowfoot Hodgkin";"female";"1910-05-12";"Cairo";"Egypt";"Africa";"1964";"The Nobel Prize in Chemistry";NA;"for her determinations by X-ray techniques of the structures of important biochemical substances";273000;2879320
"Douglas D. Osheroff";"male";"1945-08-01";"Aberdeen, WA";"USA";"North America";"1996";"The Nobel Prize in Physics";"1996-10-09";"for their discovery of superfluidity in helium-3";7400000;9662517
"Douglass C. North";"male";"1920-11-05";"Cambridge, MA";"USA";"North America";"1993";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1993-10-12";"for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change";6700000;9208279
"Dudley R. Herschbach";"male";"1932-06-18";"San José, CA";"USA";"North America";"1986";"The Nobel Prize in Chemistry";"1986-10-15";"for their contributions concerning the dynamics of chemical elementary processes";2000000;4172678
"E. Donnall Thomas";"male";"1920-03-15";"Mart, TX";"USA";"North America";"1990";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning organ and cell transplantation in the treatment of human disease";4000000;6443882
"E. M. Purcell";"male";"1912-08-30";"Taylorville, IL";"USA";"North America";"1952";"The Nobel Prize in Physics";NA;"for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith";171135;2592831
"Earl W. Sutherland, Jr.";"male";"1915-11-19";"Burlingame, KS";"USA";"North America";"1971";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries concerning the mechanisms of the action of hormones";450000;3382087
"Edgar Adrian";"male";"1889-11-30";"London";"United Kingdom";"Europe";"1932";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries regarding the functions of neurons";171753;5375024
"Edmond H. Fischer";"male";"1920-04-06";"Shanghai";"China";"Asia";"1992";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism";6500000;9350791
"Edmund S. Phelps";"male";"1933-07-26";"Evanston, IL";"USA";"North America";"2006";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2006-10-09";"for his analysis of intertemporal tradeoffs in macroeconomic policy";10000000;11762169
"Eduard Buchner";"male";"1860-05-20";"Munich";"Bavaria";"Europe";"1907";"The Nobel Prize in Chemistry";NA;"for his biochemical researches and his discovery of cell-free fermentation";138796;7161123
"Edvard I. Moser";"male";"1962-04-27";"Ålesund";"Norway";"Europe";"2014";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of cells that constitute a positioning system in the brain";8000000;8531844
"Edward A. Doisy";"male";"1893-11-13";"Hume, IL";"USA";"North America";"1943";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the chemical nature of vitamin K";123691;2566588
"Edward B. Lewis";"male";"1918-05-20";"Wilkes-Barre, PA";"USA";"North America";"1995";"The Nobel Prize in Physiology or Medicine";"1995-10-09";"for their discoveries concerning the genetic control of early embryonic development";7200000;9446598
"Edward C. Kendall";"male";"1886-03-08";"South Norwalk, CT";"USA";"North America";"1950";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects";164304;3105508
"Edward C. Prescott";"male";"1940-12-26";"Glens Falls, NY";"USA";"North America";"2004";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2004-10-11";"for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles";10000000;11976161
"Edward Tatum";"male";"1909-12-14";"Boulder, CO";"USA";"North America";"1958";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery that genes act by regulating definite chemical events";214559;2694692
"Edward V. Appleton";"male";"1892-09-06";"Bradford";"United Kingdom";"Europe";"1947";"The Nobel Prize in Physics";NA;"for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer";146115;2967378
"Edwin G. Krebs";"male";"1918-06-06";"Lansing, IA";"USA";"North America";"1992";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism";6500000;9350791
"Edwin M. McMillan";"male";"1907-09-18";"Redondo Beach, CA";"USA";"North America";"1951";"The Nobel Prize in Chemistry";NA;"for their discoveries in the chemistry of the transuranium elements";167612;2734798
"Egas Moniz";"male";"1874-11-29";"Avanca";"Portugal";"Europe";"1949";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the therapeutic value of leucotomy in certain psychoses";156290;2983576
"Ei-ichi Negishi";"male";"1935-07-14";"Changchun";"China";"Asia";"2010";"The Nobel Prize in Chemistry";"2010-10-06";"for palladium-catalyzed cross couplings in organic synthesis";10000000;11015580
"Eisaku Sato";"male";"1901-03-27";"Tabuse";"Japan";"Asia";"1974";"The Nobel Peace Prize";"1974-10-09";"for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty";550000;3322627
"Elfriede Jelinek";"female";"1946-10-20";"Mürzzuschlag";"Austria";"Europe";"2004";"The Nobel Prize in Literature";"2004-10-07";"for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power";10000000;11976161
"Elias Canetti";"male";"1905-07-25";"Ruse";"Bulgaria";"Europe";"1981";"The Nobel Prize in Literature";NA;"for writings marked by a broad outlook, a wealth of ideas and artistic power";1000000;2982813
"Elias James Corey";"male";"1928-07-12";"Methuen, MA";"USA";"North America";"1990";"The Nobel Prize in Chemistry";"1990-10-17";"for his development of the theory and methodology of organic synthesis";4000000;6443882
"Élie Ducommun";"male";"1833-02-19";"Geneva";"Switzerland";"Europe";"1902";"The Nobel Peace Prize";"1902-12-10";"for his untiring and skilful directorship of the Bern Peace Bureau";141847;8205634
